,model_name,train auc,train loss,validation auc,validation loss,test auc,test sensitivity,Training Time (s),lr,max_depth,colsample_bytree,min_child_samples,early stopping (iterations)
1,model_9982,0.9994286365872004,0.06814549099241078,0.9982864995232487,0.07360016033175522,0.9895128552097429,0.9895128552097429,14.859619617462158,0.05,3,0.5,20,50.0
2,model_9977,0.9995489847222364,0.05525679301431377,0.9977368332492007,0.0625046333764016,0.9901894451962111,0.9901894451962111,17.24264693260193,0.05,3,0.5,30,50
3,model_9966,0.9997059016635775,0.041267280870076244,0.9966571316394638,0.05020120776608101,0.9922192151556157,0.9922192151556157,18.739545822143555,0.05,3,0.5,40,50
4,model_9982,0.9996343764321977,0.05405647438141837,0.9982079757698132,0.060802695391197405,0.9912043301759134,0.9912043301759134,6.8850791454315186,0.05,3,0.7,20,50
5,model_9975,0.9992274759048974,0.07388093547074435,0.9975545459644399,0.08151341634303905,0.9868064952638701,0.9868064952638701,5.4122092723846436,0.05,3,0.7,30,50
6,model_9965,0.9994236704530107,0.06569638290431744,0.9965842167255595,0.0748796711852204,0.9874830852503383,0.9874830852503383,5.2411415576934814,0.05,3,0.7,40,50
7,model_9982,0.9996635927800922,0.052883095321266546,0.9982472376465309,0.06063123756444456,0.9908660351826793,0.9908660351826793,6.568040370941162,0.05,3,0.9,20,50
8,model_9977,0.9995051279527699,0.05743773718952226,0.9977985304840429,0.06612694194803259,0.9901894451962111,0.9901894451962111,6.241877317428589,0.05,3,0.9,30,50
9,model_9954,0.9988364412089041,0.08547316503296484,0.9954540355600426,0.09562417565393515,0.9841001353179973,0.9841001353179973,5.202146053314209,0.05,3,0.9,40,50
10,model_9984,0.9998225735694083,0.047425884964010456,0.9984155028324639,0.054783189729864026,0.9928958051420839,0.9928958051420839,10.39694094657898,0.05,5,0.5,20,50
11,model_9984,0.9999670429276509,0.020276666753617452,0.9984519602894161,0.02906547169730027,0.9945872801082544,0.9945872801082544,15.965186595916748,0.05,5,0.5,30,50
12,model_9981,0.9998143826727579,0.04438596637292843,0.99814066969544,0.051373144482563145,0.9949255751014885,0.9949255751014885,9.113784074783325,0.05,5,0.5,40,50
13,model_9983,0.9999621412887105,0.022575634690562795,0.9983762409557463,0.03108244717246285,0.9952638700947226,0.9952638700947226,6.4358415603637695,0.05,5,0.7,20,50
14,model_9978,0.9999201548814712,0.029693176919960755,0.9978069437433396,0.03809956020907359,0.9942489851150202,0.9942489851150202,5.89977765083313,0.05,5,0.7,30,50
15,model_9963,0.9993182852157927,0.07574147015339594,0.9963346233664255,0.08394220979194882,0.9884979702300406,0.9884979702300406,3.812041997909546,0.05,5,0.7,40,50
16,model_9981,0.9999742019003138,0.020203782335524677,0.9981266475966123,0.02884266211432491,0.9952638700947226,0.9952638700947226,7.071741342544556,0.05,5,0.9,20,50
17,model_9983,0.9998955821915202,0.03571000749928763,0.9983173481406697,0.04337684092372525,0.9949255751014885,0.9949255751014885,5.500632047653198,0.05,5,0.9,30,50
18,model_9966,0.9996651406660734,0.05559564674902907,0.9966851758371194,0.06496434251848515,0.9901894451962111,0.9901894451962111,4.339597702026367,0.05,5,0.9,40,50
19,model_9982,0.9998376654577247,0.053903563366515125,0.9982023669302821,0.061552773526439654,0.9928958051420839,0.9928958051420839,6.525442123413086,0.05,7,0.5,20,50
20,model_9987,0.9999782006057651,0.01789327199155394,0.9987324022659712,0.026347806602904266,0.9969553450608931,0.9969553450608931,11.37955379486084,0.05,7,0.5,30,50
21,model_9980,0.9999217672627017,0.037695403386918784,0.9980369061641147,0.0446874420891005,0.9939106901217862,0.9939106901217862,6.991283655166626,0.05,7,0.5,40,50
22,model_9978,0.9999377620845071,0.03817186429246174,0.9978658365584161,0.04715866991676728,0.9956021650879567,0.9956021650879567,4.824731111526489,0.05,7,0.7,20,50
23,model_9979,0.9999628507364519,0.026350555901453472,0.9979135116944304,0.03506830277849535,0.9952638700947226,0.9952638700947226,5.246683835983276,0.05,7,0.7,30,50
24,model_9979,0.9999640116509377,0.024550999154482146,0.9979135116944304,0.032817750309719014,0.9952638700947226,0.9952638700947226,4.889358997344971,0.05,7,0.7,40,50
25,model_9957,0.9998364400479897,0.04971017469525972,0.9957737394133154,0.060988503476481104,0.9925575101488497,0.9925575101488497,4.744573354721069,0.05,7,0.9,20,50
26,model_9980,0.9999909061698606,0.010341141904952738,0.9980228840652869,0.020575173442503415,0.9976319350473613,0.9976319350473613,8.013898849487305,0.05,7,0.9,30,50
27,model_9966,0.9998190908259507,0.04966099093197205,0.9966487183801671,0.05892848695080661,0.9928958051420839,0.9928958051420839,5.276061534881592,0.05,7,0.9,40,50
28,model_9982,0.9998771365502446,0.033475243878862825,0.9982640641651243,0.04146201483193951,0.9928958051420839,0.9928958051420839,18.204413652420044,0.07,3,0.5,20,50
29,model_9984,0.9998772010454938,0.027574489088190112,0.9984519602894161,0.0370307413017644,0.993234100135318,0.993234100135318,19.89672827720642,0.07,3,0.5,30,50
30,model_9972,0.9996163177624173,0.0484699728469292,0.9972404509506984,0.05691365577588073,0.9912043301759134,0.9912043301759134,14.229494094848633,0.07,3,0.5,40,50
31,model_9979,0.999549758665227,0.05727532200064451,0.9979135116944304,0.06412569265371769,0.9912043301759134,0.9912043301759134,6.008233308792114,0.07,3,0.7,20,50
32,model_9981,0.9995363436533902,0.054581002692732035,0.9981462785349711,0.0629149160158296,0.9912043301759134,0.9912043301759134,5.350041627883911,0.07,3,0.7,30,50
33,model_9960,0.9990667537438525,0.07922659012470722,0.9960766167479949,0.087437529088818,0.9868064952638701,0.9868064952638701,4.258954763412476,0.07,3,0.7,40,50
34,model_9980,0.9994347636358758,0.06654490770250988,0.9980621459420046,0.07391937963620374,0.9891745602165088,0.9891745602165088,5.20735239982605,0.07,3,0.9,20,50
35,model_9977,0.9995052569432683,0.057355262809675296,0.9977480509282629,0.06572133488951434,0.9901894451962111,0.9901894451962111,5.154192686080933,0.07,3,0.9,30,50
36,model_9949,0.9993106747763852,0.06438573394145253,0.9949520444220091,0.07564900564365065,0.9884979702300406,0.9884979702300406,4.636959552764893,0.07,3,0.9,40,50
37,model_9985,0.999985940035671,0.016025679225482314,0.998583768018397,0.02474037348295801,0.9962787550744249,0.9962787550744249,17.588900089263916,0.07,5,0.5,20,50
38,model_9986,0.9999049340026565,0.030411338814807024,0.9986510740927702,0.03845620102403037,0.9945872801082544,0.9945872801082544,10.963626623153687,0.07,5,0.5,30,50
39,model_9980,0.9997902614495514,0.04555040406986527,0.9980733636210668,0.05204903872721189,0.9945872801082544,0.9945872801082544,7.328995227813721,0.07,5,0.5,40,50
40,model_9980,0.9999838116924469,0.016846892407495574,0.9980200796455213,0.025693322737044458,0.996617050067659,0.996617050067659,6.325210332870483,0.07,5,0.7,20,50
41,model_9983,0.9999435021616873,0.02495837699903823,0.9983481967580907,0.03404182972204054,0.9956021650879567,0.9956021650879567,5.8697898387908936,0.07,5,0.7,30,50
42,model_9970,0.9994672047462312,0.06831825099736523,0.9970918167031241,0.07582232162767749,0.9905277401894452,0.9905277401894452,4.303258895874023,0.07,5,0.7,40,50
43,model_9984,0.9999919380938481,0.01090819045879553,0.9984659823882439,0.02140364949562033,0.9959404600811907,0.9959404600811907,7.189345121383667,0.07,5,0.9,20,50
44,model_9986,0.9999780071200175,0.018375955708308172,0.9986679006113635,0.02740125668382208,0.9959404600811907,0.9959404600811907,6.078742980957031,0.07,5,0.9,30,50
45,model_9969,0.9996598520556377,0.055942989510492355,0.9969544001346121,0.06408215717576632,0.9905277401894452,0.9905277401894452,3.858327627182007,0.07,5,0.9,40,50
46,model_9984,0.999963495688944,0.027614830302441332,0.9984491558696506,0.03519159923557085,0.9959404600811907,0.9959404600811907,7.476300954818726,0.07,7,0.5,20,50
47,model_9985,0.9999828442637086,0.02013898029501095,0.9985052442649616,0.02814263140627418,0.9962787550744249,0.9962787550744249,8.801079750061035,0.07,7,0.5,30,50
48,model_9985,0.9998901645905861,0.047585679688704974,0.9985557238207415,0.05204114778260357,0.9928958051420839,0.9928958051420839,5.657666206359863,0.07,7,0.5,40,50
49,model_9973,0.9999473073813909,0.0341203419251325,0.9973778675192103,0.04182804659364816,0.9962787550744249,0.9962787550744249,4.350748062133789,0.07,7,0.7,20,50
50,model_9973,0.9998713319778152,0.044130751605886406,0.9973694542599136,0.051909922550114534,0.9949255751014885,0.9949255751014885,4.545503616333008,0.07,7,0.7,30,50
51,model_9982,0.9999442761046778,0.02828376008230939,0.9982248022884065,0.036400605917492494,0.9956021650879567,0.9956021650879567,4.209760665893555,0.07,7,0.7,40,50
52,model_9969,0.9999912931413559,0.01241229857195564,0.9969852487520332,0.0234277826676197,0.9969553450608931,0.9969553450608931,5.734119892120361,0.07,7,0.9,20,50
53,model_9980,0.9999772331770269,0.019885268232543645,0.9980537326827079,0.02794605427990641,0.9959404600811907,0.9959404600811907,4.994468450546265,0.07,7,0.9,30,50
54,model_9974,0.9998882297331096,0.036986760834877834,0.9974423691738179,0.04566629851711107,0.9952638700947226,0.9952638700947226,3.8946943283081055,0.07,7,0.9,40,50
55,model_9986,0.9997633024353793,0.046002396340736496,0.9986146166358181,0.05326037907030288,0.9918809201623816,0.9918809201623816,11.682011842727661,0.1,3,0.5,20,50
56,model_9980,0.9996470175010439,0.04254102003075948,0.9980761680408323,0.05159912998819277,0.9925575101488497,0.9925575101488497,12.291276454925537,0.1,3,0.5,30,50
57,model_9971,0.999437794912589,0.06478180348372917,0.9971703404565595,0.07281811682575329,0.9895128552097429,0.9895128552097429,8.942509174346924,0.1,3,0.5,40,50
58,model_9983,0.9997253792288406,0.04823549228230615,0.9983818497952773,0.054619934310147986,0.993234100135318,0.993234100135318,4.686596155166626,0.1,3,0.7,20,50
59,model_9975,0.9994115453461583,0.06111512293507223,0.9975545459644399,0.06920627746611875,0.989851150202977,0.989851150202977,4.410752534866333,0.1,3,0.7,30,50
60,model_9964,0.9995654955060356,0.05236458720862433,0.9964888664535307,0.06063001327976847,0.9922192151556157,0.9922192151556157,4.230879545211792,0.1,3,0.7,40,50
61,model_9984,0.9998782974647304,0.03692911535305511,0.9984155028324639,0.045020319416530674,0.993234100135318,0.993234100135318,5.103384256362915,0.1,3,0.9,20,50
62,model_9979,0.9996025157790852,0.04941604564127761,0.9979836221885692,0.05837764307712311,0.9912043301759134,0.9912043301759134,4.7220375537872314,0.1,3,0.9,30,50
63,model_9966,0.9997043537775964,0.04440155847032695,0.996668349318526,0.054815525235607294,0.9925575101488497,0.9925575101488497,4.466589450836182,0.1,3,0.9,40,50
64,model_9989,0.9999693647566227,0.01809035584134669,0.9989679735262774,0.02667964185019576,0.9962787550744249,0.9962787550744249,10.554086923599243,0.1,5,0.5,20,50
65,model_9979,0.9998065787476029,0.046276570774575,0.9979808177688037,0.05322901914653355,0.9922192151556157,0.9922192151556157,7.170571565628052,0.1,5,0.5,30,50
66,model_9980,0.9997261531718312,0.04865307359720813,0.998028492904818,0.05619899607244731,0.9942489851150202,0.9942489851150202,6.1335670948028564,0.1,5,0.5,40,50
67,model_9981,0.9999837471971977,0.011430070521034211,0.9981939536709855,0.021118473102501867,0.9962787550744249,0.9962787550744249,5.790652275085449,0.1,5,0.7,20,50
68,model_9975,0.9999399549229804,0.025425981397550732,0.9975433282853777,0.036099810919404736,0.9959404600811907,0.9959404600811907,4.492083549499512,0.1,5,0.7,30,50
69,model_9976,0.9998221221026637,0.04317179417362858,0.9976358741376409,0.05105513825369165,0.9939106901217862,0.9939106901217862,3.680006980895996,0.1,5,0.7,40,50
70,model_9986,0.9999869074644092,0.01626229082013043,0.9986707050311291,0.02578505262526928,0.9956021650879567,0.9956021650879567,5.293447017669678,0.1,5,0.9,20,50
71,model_9987,0.9999871654454061,0.011905809360693183,0.9987828818217511,0.022106690657609694,0.9959404600811907,0.9959404600811907,5.71867561340332,0.1,5,0.9,30,50
72,model_9968,0.9998068367285997,0.043211435889697905,0.9968562454428179,0.052170962151859554,0.993234100135318,0.993234100135318,3.591520071029663,0.1,5,0.9,40,50
73,model_9988,0.9999756852910457,0.022903858983589674,0.9988165348589377,0.0300499889429578,0.9972936400541272,0.9972936400541272,6.6626060009002686,0.1,7,0.5,20,50
74,model_9979,0.9999318930168285,0.03582194365210435,0.9979583824106792,0.04336922605485942,0.9952638700947226,0.9952638700947226,6.325047492980957,0.1,7,0.5,30,50
75,model_9982,0.9999133183850545,0.03533109028045636,0.9982444332267654,0.04135773338616568,0.9942489851150202,0.9942489851150202,5.367044687271118,0.1,7,0.5,40,50
76,model_9980,0.999966462470408,0.02482464431968698,0.9980817768803635,0.03294585346226563,0.9972936400541272,0.9972936400541272,4.22103214263916,0.1,7,0.7,20,50
77,model_9974,0.9999851015974313,0.016874461337978933,0.997473217791239,0.02649155106048881,0.996617050067659,0.996617050067659,4.84963583946228,0.1,7,0.7,30,50
78,model_9984,0.9999055144598994,0.033897618623812555,0.9984351337708228,0.040919560086992324,0.9949255751014885,0.9949255751014885,3.555028200149536,0.1,7,0.7,40,50
79,model_9982,0.9999926475415895,0.009319666733816739,0.9982248022884065,0.020772331372265175,0.9969553450608931,0.9969553450608931,5.362400054931641,0.1,7,0.9,20,50
80,model_9974,0.9999994840380063,0.0028113504476268286,0.9974760222110045,0.016719623961238828,0.9972936400541272,0.9972936400541272,6.54855489730835,0.1,7,0.9,30,50
81,model_9971,0.9998681717106036,0.04100640473156363,0.9971535139379663,0.05028681672179519,0.9956021650879567,0.9956021650879567,3.684023380279541,0.1,7,0.9,40,50
